ps,cor.258176_at,cor.258177_at,cor.258084_at,cor.251865_at,cor.257958_at,cor.255731_at,cor.256187_at,cor.258060_at,cor.259359_at
247188_at,0.1895388801,0.5653803521,0.1440681282,0.4121545128,0.3529657795,0.4344634234,0.4835579521,0.5973130478,0.08906138023
247236_at,0.06947175636,0.5378529967,0.1287743004,0.1991814711,0.3679902449,0.43131345,0.5177913646,0.411184758,0.0504125242
247381_at,0.03419099851,0.569422548,0.154414918,0.2024093249,0.5172893505,0.3042906518,0.3274583148,0.3863313648,0.01017912195
247481_at,0.1045714082,0.6171654298,0.217413071,0.1899357423,0.5681984183,0.3457397315,0.4170861562,0.3920378446,0.04250493474
247516_at,0.1994959333,0.5113446137,0.1688269995,0.1645705117,0.5715098969,0.3805473045,0.4284218582,0.3157397139,0.06664195496
247839_at,0.1134210136,0.4984494365,0.2261287454,0.09854404312,0.3206580346,0.5647471819,0.5288401177,0.2738398057,0.1191033994
248018_at,0.09282266052,0.5469818469,0.2218660192,0.174470563,0.5551930912,0.3787316661,0.4132763033,0.3348326836,0.04573487412
248072_at,0.1572553081,0.511869612,0.1865885545,0.2175014806,0.4395158172,0.4546654079,0.5106337578,0.4057818379,0.13932276
248112_at,0.1475233901,0.514945365,0.2177204748,0.1555796487,0.571843645,0.2523821456,0.2918964274,0.3388699126,0.04776648077
248206_at,0.1123573073,0.537947032,0.1850708466,0.1662063875,0.599199235,0.376823092,0.354941988,0.3518482669,0.03643453785
248214_at,0.02623849117,0.5866925433,0.1486358179,0.2104541122,0.5348042083,0.3457447967,0.3762646285,0.3952364719,0.009960375222
248244_at,0.08786957923,0.5494103775,0.1711399681,0.176145881,0.5107462923,0.3225476688,0.3425905563,0.3486511898,0.03432578252
248325_at,0.1038201851,0.54699772,0.1512738763,0.1658406727,0.5212284227,0.3263527465,0.3796086831,0.3503359715,0.0290258258
248364_at,0.1436783788,0.5090804167,0.1652276537,0.1711307086,0.5440787484,0.307454446,0.294709175,0.3907738067,0.03366909483
248430_at,0.08433018621,0.5245249103,0.1545130979,0.2348721173,0.3160895282,0.3526202676,0.5035486077,0.4218085913,0.1104586861
248599_at,0.08565029443,0.5209966862,0.232300443,0.1717363927,0.5142371635,0.2733176767,0.2099292734,0.3029362034,0.02928662147
248644_at,0.2238473668,0.5443156627,0.09499549984,0.1857517902,0.5409417402,0.4138544551,0.487125609,0.4356074648,0.01476333506
248649_at,0.08133765517,0.5536702347,0.2379146193,0.1450261733,0.5224842322,0.3240703086,0.3354103356,0.3435550087,0.09556224277
248650_at,0.1312811661,0.5408782423,0.194510354,0.1324160565,0.5494291698,0.339251526,0.3839158271,0.3637596178,0.02287758845
248702_at,0.1165332653,0.5195085862,0.2002902958,0.1438124436,0.5200569368,0.3535334928,0.3251487122,0.3152118113,0.07789533837
248825_at,0.08181741913,0.4721885071,0.0628646047,0.1107922542,0.3325612047,0.5956810112,0.5516482764,0.3911311583,0.08090563358
248860_at,0.1328664303,0.5588991022,0.1712807623,0.1393871271,0.6120383759,0.4039656229,0.4240272443,0.3551896456,0.006708613373
248877_at,0.1541294748,0.5094493675,0.006876678226,0.1715797433,0.5041370613,0.3739655622,0.4399373533,0.3571300736,0.05942189606
248982_at,0.1890467245,0.5640935201,0.1227646307,0.1950115515,0.4627903504,0.4010004534,0.554706941,0.4070250868,0.01013195541
249049_at,0.007848246343,0.4288073415,0.1874675355,0.1020924257,0.2566417702,0.65224439,0.500055855,0.4292831237,0.09973172487
249121_at,0.03329346343,0.4996319918,0.1666777584,0.004165650825,0.2953689362,0.4872150673,0.5470039155,0.5156445991,0.02110775416
249173_at,0.093308108,0.5863327892,0.1551317732,0.1918487323,0.5268860558,0.3348093798,0.3577930911,0.3876132305,0.04741780758
249232_at,0.01226257958,0.3599689787,0.1421701552,0.1358461342,0.2378801795,0.5159611756,0.505031489,0.4283328681,0.06080547084
249261_at,0.1579381195,0.5223907768,0.1813541267,0.1791508996,0.5558453496,0.2883750836,0.2995321819,0.3672888248,0.0181724704
249291_at,0.1372526375,0.517076455,0.0177215427,0.2110684851,0.5046375308,0.2945014089,0.4600579371,0.3970874613,0.06372771725
249369_at,0.1227982249,0.5367756128,0.1572169745,0.1568244399,0.5038203241,0.4367722497,0.4836722805,0.4074717268,0.05546871977
249431_at,0.1681980416,0.522878014,0.07352858352,0.2543185424,0.4167530701,0.3783507023,0.5071535006,0.4377545015,0.06297966534
249458_at,0.09942295729,0.5950424609,0.2333844524,0.1671273841,0.506220268,0.389987194,0.4667621754,0.4551081006,0.1229194751
249461_at,0.1556763583,0.5102522639,0.1756189491,0.1106467894,0.5418388692,0.2921625228,0.3065876938,0.3162373006,0.03724367195
249463_s_at,0.1186576386,0.5294358473,0.1036843099,0.2031915094,0.3644468493,0.4008065125,0.5419264334,0.4568885756,0.03715107119
249466_at,0.09256008381,0.5734197407,0.0129435966,0.1768172271,0.4371979132,0.5081532443,0.498967679,0.327508137,0.09707625127
249511_at,0.1750257577,0.5000080182,0.0747269672,0.2815007813,0.3184730995,0.3700043727,0.5219995475,0.390843815,0.07964064205
249539_at,0.1682262774,0.5382204334,0.1073853939,0.2144562922,0.4907044405,0.3734698111,0.5237395004,0.3837870789,0.03322884016
249594_at,0.1859503745,0.506748187,0.115520503,0.2283942051,0.3990385227,0.4233086101,0.5651832806,0.4095321242,0.06539862989
249604_x_at,0.1802430672,0.5355962268,0.01107466362,0.2724727421,0.5902551011,0.3608530828,0.4255218415,0.4910266127,0.02615677992
249627_at,0.08526093878,0.4635983536,0.1507584697,0.0669737134,0.3196937494,0.5358103509,0.5396250317,0.2551326767,0.1246176141
249648_at,0.1252686105,0.6569800592,0.1568028515,0.2386114147,0.5287497139,0.3855009746,0.4214137067,0.4557354944,0.009088248345
249670_at,0.1311356608,0.5591644015,0.1682051587,0.1874360582,0.5162285081,0.3566645549,0.36883292,0.3848703158,0.03620045118
249707_at,0.1115401386,0.5757151615,0.1307633606,0.2402569985,0.3752065956,0.4281475584,0.5102052202,0.4299383051,0.023695309
249731_at,0.06429915014,0.5007808692,0.1909088646,0.09156835287,0.5952865001,0.3921092166,0.3773022889,0.3718958369,0.03428565398
249892_at,0.10482386,0.5634748776,0.1394382868,0.2789787417,0.5586869498,0.3545482537,0.4047566533,0.4502229923,0.00418599959
249902_at,0.09158673271,0.5254197093,0.1676141042,0.1397798347,0.6048860603,0.3416649993,0.3118317648,0.3879869995,0.08930340042
249921_at,0.191572663,0.5618684391,0.2281296106,0.2024882933,0.5113741508,0.4388195502,0.4903845292,0.4388150174,0.08858660649
249935_at,0.1682440801,0.5474893357,0.1096741874,0.2226718851,0.4101359518,0.3844102139,0.5187209933,0.4134528994,0.06772051433
249982_at,0.01439509139,0.5083862076,0.1784175255,0.078701217,0.3104993665,0.5879889428,0.4623832155,0.4973089507,0.09425277148
250082_at,0.1630767387,0.5362309789,0.1412804461,0.2004759153,0.4519631744,0.430838212,0.5241858448,0.4308831701,0.1051452988
250136_at,0.1443804863,0.5360959955,0.2398183695,0.210248432,0.5684434996,0.3338346163,0.3432422994,0.3828847259,0.1447943862
